"Estacion","Fecha inicial","Fecha final","VViento","O3","DViento","PLiquida","HAire10","CO","NO2","P","PM2.5","SO2","PM10","RGlobal","TAire10"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-18","","0.44166667","43.2375","136.02272727","0.43333333","82.80952381","755.525","11.36666667","590.44583333","5.85833333","1.2","12.9625","205.72727273","18.25"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-17","","1.20416667","41.84166667","151.36363636","0.29583333","78.14285714","688.25","8.55294118","590.74166667","6.85","1.32222222","16.61666667","237.04545455","19.1625"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-16","","1.0625","40.72083333","125.35714286","0.0","78.65","641.16666667","10.29444444","590.6375","7.3875","1.48","16.19583333","194.0952381","18.325"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-15","","1.19583333","55.2125","121.07142857","0.14833333","77.85","596.22083333","11.43333333","590.47916667","5.04166667","1.2","11.52083333","261.0952381","18.27916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-14","","1.23333333","41.13333333","155.35714286","0.01041667","75.28571429","647.95833333","14.35333333","590.72916667","8.6","1.475","17.58333333","291.66666667","18.58333333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-13","","1.19583333","49.52083333","206.59090909","0.5875","76.47619048","588.55","14.99375","590.70833333","5.25","1.13333333","11.275","180.13636364","17.66666667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-12","","1.2125","41.4125","115.56818182","0.0","75.76190476","684.9125","16.52941176","590.83333333","10.59166667","1.2","21.15","234.63636364","18.94166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-11","","1.24166667","54.08","142.15909091","0.32916667","78.57142857","645.73181818","14.46923077","591.02272727","7.91578947","1.575","15.63684211","224.27272727","18.13636364"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-10","","1.20416667","39.15652174","151.36363636","0.29583333","78.14285714","752.70434783","19.55","591.55416667","14.59583333","1.65555556","30.99166667","237.04545455","17.85416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-09","","1.0625","34.81666667","125.35714286","0.0","78.65","1015.42916667","35.09047619","592.00416667","22.1","1.55","45.7125","194.0952381","17.625"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-08","","1.19583333","46.41666667","121.07142857","0.15","77.85","903.84166667","27.03913043","592.3","17.4125","1.4","36.09166667","261.0952381","18.42916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-07","","1.23333333","40.53333333","155.35714286","0.0125","75.28571429","819.5875","15.91666667","592.10833333","10.175","1.35","21.925","291.66666667","19.08333333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-06","","1.1375","21.18333333","150.9375","0.21666667","79.70833333","871.02083333","21.15","591.4625","12.77916667","1.2","26.6375","242.16666667","19.1625"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-05","","0.5","28.62083333","133.125","0.29583333","80.79166667","805.6125","19.92916667","591.35","11.78333333","1.26666667","24.1","170.16666667","19.82083333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-04","","0.16666667","25.22083333","176.25","0.15125","86.875","887.3125","28.63043478","591.46666667","19.225","1.65714286","35.625","68.375","18.57916667"
